station,lat,lon,dep_count,arr_count,activity_type
Rustengasse,48.190832,16.326461,48.0,53.0,more_arrivals
Sankt-Elisabeth-Platz,48.190903,16.375826,128.0,124.0,more_departures
Schloss Schönbrunn,48.187201,16.312659,147.0,139.0,more_departures
Schmelzbrücke,48.19623,16.330241,39.0,52.0,more_arrivals
Schottenring U,48.215972,16.372194,105.0,132.0,more_arrivals
Schottenring U /Herminengasse,48.217784,16.373083,71.0,71.0,equal
Schottentor U,48.214558,16.361492,336.0,324.0,more_departures
Schuhmeierplatz,48.21069,16.318802,64.0,52.0,more_departures
Schwarzenbergplatz,48.198852,16.376962,168.0,165.0,more_departures
Schwedenplatz,48.211721,16.376628,276.0,283.0,more_arrivals
Schönbrunn U,48.185845,16.319898,75.0,90.0,more_arrivals
Schüttauplatz,48.225856,16.423761,114.0,113.0,more_departures
Seepark,48.226593,16.504396,9.0,9.0,equal
Seestadt U,48.224865,16.507619,45.0,25.0,more_departures
Seestadt U - Lina-Bo-Bardi-Platz,48.227143,16.508852,41.0,42.0,more_arrivals
Selzergasse,48.196802,16.323095,59.0,60.0,more_arrivals
Sensengasse,48.220335,16.35638,71.0,73.0,more_arrivals
Siebenbrunnenfeldgasse,48.18142,16.352644,37.0,36.0,more_departures
Siebenbrunnenplatz,48.184975,16.352986,137.0,155.0,more_arrivals
Siebenhirten U,48.129845,16.310018,5.0,0.0,more_departures
Siebensternplatz,48.202223,16.352486,127.0,124.0,more_departures
Siemensstraße S,48.27113,16.42081,11.0,18.0,more_arrivals
Simmering S U,48.169601,16.420754,37.0,33.0,more_departures
Simoningplatz,48.179097,16.420704,29.0,25.0,more_departures
Sonnenallee,48.224888,16.502422,22.0,29.0,more_arrivals
Speising S,48.17377,16.282425,11.0,13.0,more_arrivals
Spittelau S U,48.235289,16.35875,147.0,147.0,equal
Stadion U,48.210893,16.420795,128.0,120.0,more_departures
Stadlau U,48.21978,16.44922,66.0,39.0,more_departures
Stavangergasse,48.213317,16.474986,2.0,11.0,more_arrivals
Stefan-Fadinger-Platz,48.168439,16.354862,34.0,21.0,more_departures
Stephansplatz U,48.207836,16.372111,145.0,142.0,more_departures
Strebersdorf / Edmund-Hawranek-Platz,48.291474,16.386194,0.0,8.0,more_arrivals
Strebersdorf S,48.286421,16.381676,10.0,3.0,more_departures
Strozzigasse,48.207744,16.349122,281.0,276.0,more_departures
Stubentor U,48.206812,16.380441,274.0,308.0,more_arrivals
Svetelskystraße,48.15403,16.46573,27.0,20.0,more_departures
Taborstraße U,48.219522,16.382218,120.0,145.0,more_arrivals
Technisches Museum,48.190316,16.317929,21.0,28.0,more_arrivals
Thaliastraße U,48.207995,16.337984,98.0,103.0,more_arrivals
Traisengasse S,48.233821,16.383263,82.0,64.0,more_departures
Universitätsring,48.21192,16.360781,143.0,146.0,more_arrivals
Urban-Loritz-Platz,48.201034,16.337727,121.0,117.0,more_departures
VHS Kulturgarage,48.231445,16.51109,11.0,15.0,more_arrivals
VIC Kaisermühlen U,48.232362,16.415692,207.0,203.0,more_departures
Vetmed Haupteingang,48.25442,16.431427,9.0,4.0,more_departures
Vetmed UB,48.253112,16.430644,10.0,21.0,more_arrivals
Volksgarten,48.206516,16.3604,167.0,181.0,more_arrivals
Volkstheater U,48.205994,16.356442,108.0,107.0,more_departures
Vorgartenstraße U,48.223192,16.399795,226.0,200.0,more_departures
WU-Campus / Südportalstraße ,48.212856,16.407665,355.0,379.0,more_arrivals
Waldmüllerpark,48.18136,16.367618,23.0,26.0,more_arrivals
Wallensteinplatz,48.229911,16.371579,179.0,180.0,more_arrivals
Wassergasse,48.199234,16.394335,84.0,93.0,more_arrivals
Wattgasse,48.217837,16.319961,60.0,56.0,more_departures
Wattmanngasse,48.171677,16.291818,1.0,3.0,more_arrivals
Weißenböckstraße,48.162067,16.42849,12.0,13.0,more_arrivals
Wendstattgasse,48.14679,16.391242,10.0,12.0,more_arrivals
Westbahnhof S U,48.19681,16.338577,203.0,186.0,more_departures
