station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
Lazarettgasse,48.219312,16.352461,6.0,34.0,38.0,12.0,31.0,18.0,24.0,11.0,more_arrivals,more_departures,more_departures,more_departures
Leopoldau S U,48.276824,16.45017,4.0,1.0,4.0,7.0,0.0,4.0,2.0,2.0,more_departures,more_arrivals,more_departures,more_departures
Leopoldauer Platz,48.263377,16.440686,2.0,1.0,11.0,4.0,0.0,4.0,6.0,8.0,more_departures,more_arrivals,more_departures,more_arrivals
Liesing S,48.134253,16.283428,0.0,4.0,5.0,1.0,3.0,0.0,1.0,2.0,more_arrivals,more_departures,more_departures,more_arrivals
Loquaiplatz,48.194597,16.349121,17.0,23.0,13.0,12.0,3.0,16.0,23.0,20.0,more_departures,more_departures,more_arrivals,more_arrivals
Längenfeldgasse U,48.18424,16.333886,7.0,16.0,20.0,25.0,6.0,20.0,23.0,39.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Löwengasse,48.2057,16.395998,47.0,48.0,46.0,23.0,11.0,52.0,52.0,32.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Margaretengürtel U,48.188489,16.343992,19.0,38.0,38.0,32.0,12.0,27.0,49.0,40.0,more_departures,more_departures,more_arrivals,more_arrivals
Maria-Tusch-Straße,48.224719,16.498557,7.0,11.0,8.0,4.0,4.0,12.0,18.0,14.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Markgraf-Rüdiger Straße,48.202473,16.329897,21.0,27.0,38.0,29.0,22.0,16.0,22.0,59.0,more_arrivals,more_departures,more_departures,more_arrivals
Marschallplatz,48.165635,16.303146,0.0,3.0,2.0,0.0,0.0,2.0,3.0,10.0,equal,more_departures,more_arrivals,more_arrivals
Mayerhofgasse,48.192488,16.367014,12.0,17.0,28.0,18.0,18.0,10.0,22.0,24.0,more_arrivals,more_departures,more_departures,more_arrivals
Media Quarter Marx,48.188763,16.404503,58.0,28.0,56.0,30.0,41.0,33.0,62.0,45.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Meidling S U / Schedifkaplatz,48.172862,16.332105,3.0,9.0,12.0,11.0,2.0,10.0,12.0,17.0,more_departures,more_arrivals,equal,more_arrivals
Messe-Prater U,48.217295,16.406163,10.0,51.0,100.0,47.0,24.0,42.0,69.0,68.0,more_arrivals,more_departures,more_departures,more_arrivals
Michelbeuern-AKH U,48.221804,16.343735,14.0,28.0,24.0,18.0,23.0,15.0,29.0,18.0,more_arrivals,more_departures,more_arrivals,equal
Mittersteig,48.189735,16.361331,20.0,36.0,40.0,26.0,12.0,23.0,52.0,44.0,more_departures,more_departures,more_arrivals,more_arrivals
Modecenterstraße / The Marks,48.184348,16.413837,10.0,41.0,33.0,20.0,11.0,14.0,33.0,33.0,more_arrivals,more_departures,equal,more_arrivals
Museumsquartier U,48.202344,16.361117,23.0,87.0,176.0,76.0,59.0,125.0,140.0,58.0,more_arrivals,more_arrivals,more_departures,more_departures
Muthgasse,48.252055,16.369822,3.0,8.0,7.0,6.0,4.0,6.0,5.0,1.0,more_arrivals,more_departures,more_departures,more_departures
