station,degree_centrality,lat,lon,trips_started,trips_ended,trips
Atzgersdorf Bildungscampus,0.01976284584980237,48.153174,16.301623,2,4,6
Laudongasse / Schönbornpark,0.24901185770750986,48.21339,16.350695,41,43,84
Marschallplatz,0.02766798418972332,48.165635,16.303146,5,15,20
Perfektastraße U,0.035573122529644265,48.136491,16.313367,8,4,12
Arbeitergasse - Gürtel,0.22134387351778656,48.18392,16.345801,55,49,104
Urban-Loritz-Platz,0.3952569169960474,48.201034,16.337727,121,117,238
Leopoldauer Platz,0.05928853754940711,48.263377,16.440686,18,18,36
Oberdöbling S,0.13043478260869565,48.244386,16.344711,25,20,45
Traisengasse S,0.24901185770750986,48.233821,16.383263,82,64,146
eLastenräder - Bruno-Marek-Allee,0.2134387351778656,48.227914,16.391516,47,46,93
Gatterhölzl,0.07509881422924901,48.175409,16.320534,15,11,26
Johnstrasse U,0.26877470355731226,48.19834,16.318975,103,89,192
Zippererstraße U,0.08300395256916995,48.17915,16.411219,14,13,27
Petrusgasse,0.3201581027667984,48.192988,16.398459,124,117,241
Schmelzbrücke,0.1818181818181818,48.19623,16.330241,39,52,91
Selzergasse,0.22134387351778656,48.196802,16.323095,59,60,119
Simmering S U,0.09881422924901186,48.169601,16.420754,37,33,70
Stephansplatz U,0.458498023715415,48.207836,16.372111,145,142,287
Aspern Nord S U,0.01976284584980237,48.235615,16.503965,4,5,9
Barbara-Prammer-Allee,0.05928853754940711,48.229561,16.510147,34,34,68
Maria-Tusch-Straße,0.07905138339920947,48.224719,16.498557,30,48,78
Donauspital U,0.08300395256916995,48.219878,16.464588,17,27,44
Hausfeldstraße S U,0.06324110671936758,48.233624,16.486825,21,14,35
Hetzendorf S,0.05928853754940711,48.167527,16.316119,14,19,33
Rennbahnweg U,0.11857707509881422,48.257535,16.44959,31,33,64
Seepark,0.03952569169960474,48.226593,16.504396,9,9,18
Seestadt U - Lina-Bo-Bardi-Platz,0.08300395256916995,48.227143,16.508852,41,42,83
VHS Kulturgarage,0.03952569169960474,48.231445,16.51109,11,15,26
Atzgersdorf S,0.007905138339920948,48.146654,16.287907,1,1,2
Fröbelgasse,0.26482213438735175,48.205827,16.330869,84,82,166
Hanusch Krankenhaus,0.13043478260869565,48.19853,16.29393,42,50,92
Lazarettgasse,0.3675889328063241,48.219312,16.352461,90,84,174
Thaliastraße U,0.3636363636363636,48.207995,16.337984,98,103,201
Aumannplatz,0.2292490118577075,48.228561,16.335125,47,39,86
Brünner Straße S,0.0909090909090909,48.267376,16.403725,29,20,49
Bacherplatz,0.24505928853754938,48.188009,16.355089,46,51,97
Grimmgasse,0.22134387351778656,48.186805,16.327679,51,42,93
Rathaus U,0.32411067193675885,48.211441,16.356586,69,62,131
Wassergasse,0.3517786561264822,48.199234,16.394335,84,93,177
Seestadt U,0.07114624505928853,48.224865,16.507619,45,25,70
Dänenstraße / BOKU,0.2924901185770751,48.23737,16.33448,113,73,186
Ober St. Veit U,0.13043478260869565,48.192296,16.274813,34,23,57
Canisiusgasse,0.23320158102766797,48.229011,16.354359,46,44,90
Dresdner Straße U,0.24110671936758893,48.237487,16.380363,69,61,130
FH Technikum,0.09881422924901186,48.23937,16.377182,27,41,68
Hans-Steger-Gasse,0.05533596837944664,48.224465,16.456828,10,11,21
Löwengasse,0.4624505928853755,48.2057,16.395998,164,147,311
Nussbaumallee,0.03162055335968379,48.181554,16.42316,17,6,23
Simoningplatz,0.07509881422924901,48.179097,16.420704,29,25,54
Hermesstraße / Oscar-Straus-Park ,0.06324110671936758,48.167976,16.282246,17,13,30
Hütteldorf  S U,0.09881422924901186,48.198076,16.261813,20,18,38
Wieningerplatz,0.225296442687747,48.194063,16.31846,46,45,91
Technisches Museum,0.13043478260869565,48.190316,16.317929,21,28,49
Fultonstraße,0.14229249011857706,48.252916,16.413875,49,52,101
Großfeldsiedlung U,0.07114624505928853,48.271948,16.447562,21,37,58
Jedlesee / Bellgasse,0.11067193675889328,48.262127,16.387658,37,39,76
Siemensstraße S,0.05533596837944664,48.27113,16.42081,11,18,29
Strebersdorf / Edmund-Hawranek-Platz,0.023715415019762844,,,0,8,8
eLastenräder - Am Tabor,0.1818181818181818,48.224598,16.39209,42,40,82
Floridsdorfer Markt,0.07114624505928853,48.263052,16.399257,15,16,31
Gutheil-Schoder-Gasse / Badner Bahn,0.05138339920948616,48.158662,16.334796,7,10,17
Nordbahnstrasse,0.09486166007905138,48.227231,16.388737,17,15,32
Stavangergasse,0.03952569169960474,48.213317,16.474986,2,11,13
Muthgasse,0.08695652173913043,48.252055,16.369822,24,16,40
Edelsinnstraße,0.07509881422924901,48.170578,16.310926,14,16,30
Nietzscheplatz,0.08300395256916995,48.220453,16.306123,16,12,28
Neilreichgasse,0.09881422924901186,48.176253,16.366421,24,25,49
Svetelskystraße,0.0909090909090909,48.15403,16.46573,27,20,47
Etrichstraße,0.011857707509881422,48.14826,16.462393,2,1,3
Zentralfriedhof 2. Tor,0.05928853754940711,48.154665,16.442269,18,17,35
Jedleseer Friedhof,0.06719367588932806,48.270076,16.384403,24,20,44
Neu Leopoldau,0.05533596837944664,48.273397,16.426352,28,12,40
Grinzing,0.13043478260869565,48.255793,16.342947,27,25,52
Wattmanngasse,0.011857707509881422,48.171677,16.291818,1,3,4
Hafen Wien,0.003952569169960474,48.183217,16.458423,2,0,2
Hopfengasse,0.011857707509881422,48.269651,16.392036,1,2,3
Strebersdorf S,0.015810276679841896,48.286421,16.381676,10,3,13
eLastenräder- Modecenterstraße / The Marks,0.07905138339920947,48.184929,16.413964,16,10,26
Niederpointenstraße,0.02766798418972332,48.20326,16.275366,3,7,10
Joachimsthaler Platz,0.02766798418972332,48.208885,16.303775,6,1,7
Vetmed Haupteingang,0.023715415019762844,48.25442,16.431427,9,4,13
Siebenhirten U,0.011857707509881422,48.129845,16.310018,5,0,5
