,station,degree_centrality,lat,lon,trips_started,trips_ended,trips,connections_total,connections_out,connections_in
158,Raxstraße,0.075098814229249,48.163234,16.366437,14,12,26,19,12,7
159,Am Schöpfwerk U,0.0790513833992094,48.160951,16.324922,20,20,40,20,10,10
160,Carl-Appel-Straße,0.1581027667984189,48.169012,16.343611,51,44,95,40,24,16
161,Niederhofstraße U,0.2964426877470355,48.180233,16.330812,64,62,126,75,37,38
162,Weißenböckstraße,0.0513833992094861,48.162067,16.42849,12,13,25,13,7,6
163,Westbahnhof S U,0.592885375494071,48.19681,16.338577,203,186,389,150,79,71
164,Althanstraße,0.1304347826086956,48.228936,16.3596,22,27,49,33,14,19
165,Kantnergasse,0.0276679841897233,48.277738,16.410474,2,14,16,7,1,6
166,Obere Augartenstraße,0.3478260869565217,48.223,16.374752,103,105,208,88,37,51
167,Am Langen Felde,0.075098814229249,48.250336,16.450206,24,22,46,19,9,10
168,Leopoldau S U,0.0592885375494071,48.276824,16.45017,16,8,24,15,7,8
169,Messe-Prater U,0.5375494071146245,48.217295,16.406163,208,203,411,136,70,66
170,Vetmed UB,0.0632411067193675,48.253112,16.430644,10,21,31,16,9,7
171,eLastenräder - Am langen Felde,0.0158102766798418,48.250224,16.45065,2,3,5,4,2,2
172,Atzgersdorf Bildungscampus,0.0197628458498023,48.153174,16.301623,2,4,6,5,2,3
173,Laudongasse / Schönbornpark,0.2490118577075098,48.21339,16.350695,41,43,84,63,29,34
174,Marschallplatz,0.0276679841897233,48.165635,16.303146,5,15,20,7,2,5
175,Perfektastraße U,0.0355731225296442,48.136491,16.313367,8,4,12,9,6,3
176,Arbeitergasse - Gürtel,0.2213438735177865,48.18392,16.345801,55,49,104,56,28,28
177,Urban-Loritz-Platz,0.3952569169960474,48.201034,16.337727,121,117,238,100,58,42
178,Leopoldauer Platz,0.0592885375494071,48.263377,16.440686,18,18,36,15,7,8
179,Oberdöbling S,0.1304347826086956,48.244386,16.344711,25,20,45,33,17,16
180,Traisengasse S,0.2490118577075098,48.233821,16.383263,82,64,146,63,32,31
181,eLastenräder - Bruno-Marek-Allee,0.2134387351778656,48.227914,16.391516,47,46,93,54,25,29
182,Gatterhölzl,0.075098814229249,48.175409,16.320534,15,11,26,19,11,8
183,Johnstrasse U,0.2687747035573122,48.19834,16.318975,103,89,192,68,46,22
184,Zippererstraße U,0.0830039525691699,48.17915,16.411219,14,13,27,21,11,10
185,Petrusgasse,0.3201581027667984,48.192988,16.398459,124,117,241,81,37,44
186,Schmelzbrücke,0.1818181818181818,48.19623,16.330241,39,52,91,46,23,23
187,Selzergasse,0.2213438735177865,48.196802,16.323095,59,60,119,56,35,21
188,Simmering S U,0.0988142292490118,48.169601,16.420754,37,33,70,25,8,17
189,Stephansplatz U,0.458498023715415,48.207836,16.372111,145,142,287,116,55,61
190,Aspern Nord S U,0.0197628458498023,48.235615,16.503965,4,5,9,5,2,3
191,Barbara-Prammer-Allee,0.0592885375494071,48.229561,16.510147,34,34,68,15,8,7
192,Maria-Tusch-Straße,0.0790513833992094,48.224719,16.498557,30,48,78,20,9,11
193,Donauspital U,0.0830039525691699,48.219878,16.464588,17,27,44,21,9,12
194,Hausfeldstraße S U,0.0632411067193675,48.233624,16.486825,21,14,35,16,10,6
195,Hetzendorf S,0.0592885375494071,48.167527,16.316119,14,19,33,15,10,5
196,Rennbahnweg U,0.1185770750988142,48.257535,16.44959,31,33,64,30,18,12
197,Seepark,0.0395256916996047,48.226593,16.504396,9,9,18,10,5,5
198,Seestadt U - Lina-Bo-Bardi-Platz,0.0830039525691699,48.227143,16.508852,41,42,83,21,9,12
199,VHS Kulturgarage,0.0395256916996047,48.231445,16.51109,11,15,26,10,4,6
200,Atzgersdorf S,0.0079051383399209,48.146654,16.287907,1,1,2,2,1,1
201,Fröbelgasse,0.2648221343873517,48.205827,16.330869,84,82,166,67,42,25
202,Hanusch Krankenhaus,0.1304347826086956,48.19853,16.29393,42,50,92,33,19,14
203,Lazarettgasse,0.3675889328063241,48.219312,16.352461,90,84,174,93,48,45
204,Thaliastraße U,0.3636363636363636,48.207995,16.337984,98,103,201,92,49,43
205,Aumannplatz,0.2292490118577075,48.228561,16.335125,47,39,86,58,28,30
206,Brünner Straße S,0.0909090909090909,48.267376,16.403725,29,20,49,23,13,10
207,Bacherplatz,0.2450592885375493,48.188009,16.355089,46,51,97,62,30,32
208,Grimmgasse,0.2213438735177865,48.186805,16.327679,51,42,93,56,29,27
209,Rathaus U,0.3241106719367588,48.211441,16.356586,69,62,131,82,45,37
210,Wassergasse,0.3517786561264822,48.199234,16.394335,84,93,177,89,39,50
211,Seestadt U,0.0711462450592885,48.224865,16.507619,45,25,70,18,7,11
212,Dänenstraße / BOKU,0.2924901185770751,48.23737,16.33448,113,73,186,74,53,21
213,Ober St. Veit U,0.1304347826086956,48.192296,16.274813,34,23,57,33,17,16
214,Canisiusgasse,0.2332015810276679,48.229011,16.354359,46,44,90,59,30,29
